Rank,Model,Mean scores,ar,de,de-en,de-fr,de-pl,en,es,es-en,es-it,fr,fr-pl,it,pl,pl-en,ru,tr,zh,zh-en
1,Kingsoft-LLM/QZhou-Embedding,77.18,79.08,74.22,73.76,75.77,74.74,79.84,82.75,87.32,80.27,87.66,50.71,86.34,54.78,84.59,73.80,76.93,83.38,83.35
2,Octen/Octen-Embedding-8B,73.95,71.42,69.77,64.66,70.62,47.55,73.24,76.55,82.53,78.49,85.59,84.52,82.24,51.76,87.79,74.77,74.71,74.23,80.71
3,Qwen/Qwen3-Embedding-4B,72.95,69.76,67.59,59.44,70.76,49.76,73.11,77.39,82.78,78.56,84.59,84.52,82.26,49.97,83.33,72.83,75.62,75.44,75.45
4,Mira190/Euler-Legal-Embedding-V1,72.80,66.06,64.01,65.12,68.71,56.82,71.75,75.48,82.94,79.71,84.52,84.52,79.65,50.92,85.39,71.83,72.31,74.77,75.82
5,Qwen/Qwen3-Embedding-8B,72.59,69.29,69.54,61.64,72.22,43.64,73.10,76.78,82.51,78.50,85.37,73.25,81.95,49.62,86.04,74.57,74.22,74.44,79.87
6,microsoft/harrier-oss-v1-0.6b,72.13,64.96,64.47,62.98,66.38,51.06,69.58,76.02,83.14,79.14,84.99,84.52,81.52,50.36,87.17,71.16,70.52,74.21,76.24
7,voyageai/voyage-3,71.88,65.33,63.44,64.30,67.52,57.03,69.60,75.92,82.78,77.16,82.76,84.52,80.67,50.64,83.83,69.57,70.32,73.58,74.89
8,Qwen/Qwen3-Embedding-0.6B,71.83,66.52,65.67,60.38,59.72,56.88,71.11,76.31,80.98,77.04,85.33,84.52,80.20,50.28,84.23,69.02,72.48,75.55,76.78
9,jinaai/jina-embeddings-v4,71.76,63.52,61.84,65.99,61.35,60.33,70.71,75.59,81.81,77.46,85.60,84.52,80.14,50.23,81.94,69.22,70.95,75.01,75.54
10,google/gemini-embedding-001,71.69,61.92,59.94,64.05,66.76,62.67,67.97,75.27,83.16,77.68,85.18,84.52,79.54,48.57,83.32,69.87,71.33,73.55,75.16
11,BidirLM/BidirLM-Omni-2.5B-Embedding,71.55,63.76,62.90,62.54,67.51,57.00,68.14,74.22,81.83,78.37,84.14,84.52,79.60,48.43,82.30,71.20,70.73,75.27,75.39
12,nvidia/llama-embed-nemotron-8b,71.54,64.57,64.87,61.56,66.07,52.44,67.68,75.23,82.85,77.75,84.46,84.52,81.44,47.49,81.25,72.03,71.70,75.64,76.20
13,Lajavaness/bilingual-embedding-large,71.35,63.80,64.56,59.13,65.74,59.77,68.58,75.25,82.68,77.81,85.41,84.52,80.21,49.14,79.74,70.72,70.64,71.64,74.91
14,google/embeddinggemma-300m,71.20,63.43,58.90,62.61,65.39,56.48,67.52,75.81,82.72,79.74,83.67,84.52,79.76,47.60,83.23,68.62,69.47,75.50,76.68
15,jinaai/jina-embeddings-v3,71.14,64.90,61.48,64.36,64.57,57.09,68.45,76.83,81.76,78.88,84.65,84.52,80.53,50.67,77.87,69.36,67.63,71.85,75.20
16,voyageai/voyage-3.5,71.02,64.97,65.36,64.19,58.42,57.40,68.49,77.78,80.99,76.36,83.01,84.52,80.84,47.00,79.63,68.08,70.03,74.81,76.55
17,jinaai/jina-embeddings-v5-omni-small,70.97,71.47,63.58,60.71,67.49,57.65,71.75,71.27,79.81,75.00,85.33,84.52,78.78,48.23,77.74,69.56,70.12,72.69,71.75
18,jinaai/jina-embeddings-v5-text-small,70.97,71.47,63.58,60.71,67.49,57.65,71.75,71.27,79.81,75.00,85.33,84.52,78.78,48.23,77.74,69.56,70.12,72.69,71.75
19,OrdalieTech/Solon-embeddings-large-0.1,70.92,65.43,61.82,60.90,65.47,54.20,67.85,73.88,81.62,76.82,83.94,84.52,80.30,47.02,81.86,70.84,70.14,75.35,74.51
20,zeroentropy/zembed-1,70.79,65.13,62.52,63.89,58.59,51.24,68.51,73.72,82.26,77.73,82.84,84.52,81.05,46.59,84.05,70.19,70.66,75.85,74.78
21,microsoft/harrier-oss-v1-27b,70.74,63.46,62.11,64.96,66.45,53.24,68.91,73.98,82.95,73.46,84.25,73.25,79.81,47.26,87.54,70.61,72.87,72.15,76.04
